fixed acidity	volatile acidity	citric acid	residual sugar	alcohol	quality	total	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates
7.0	0.27	0.36	20.7	8.8	6	256.626	0.045	45.0	170.0	1.001	3.0	0.45
6.3	0.3	0.34	1.6	9.5	6	168.87300000000002	0.049	14.0	132.0	0.9940000000000001	3.3	0.49
8.1	0.28	0.4	6.9	10.1	6	157.52509999999998	0.05	30.0	97.0	0.9951	3.26	0.44
7.2	0.23	0.32	8.5	9.9	6	263.79359999999997	0.057999999999999996	47.0	186.0	0.9956	3.19	0.4
7.2	0.23	0.32	8.5	9.9	6	263.79359999999997	0.057999999999999996	47.0	186.0	0.9956	3.19	0.4
8.1	0.28	0.4	6.9	10.1	6	157.52509999999998	0.05	30.0	97.0	0.9951	3.26	0.44
6.2	0.32	0.16	7.0	9.6	6	193.9699	0.045	30.0	136.0	0.9949	3.18	0.47
7.0	0.27	0.36	20.7	8.8	6	256.626	0.045	45.0	170.0	1.001	3.0	0.45
6.3	0.3	0.34	1.6	9.5	6	168.87300000000002	0.049	14.0	132.0	0.9940000000000001	3.3	0.49
8.1	0.22	0.43	1.5	11.0	6	182.9578	0.044000000000000004	28.0	129.0	0.9938	3.22	0.45
8.1	0.27	0.41	1.45	12.0	5	100.8038	0.033	11.0	63.0	0.9908	2.99	0.56
8.6	0.23	0.4	4.2	9.7	5	153.82969999999997	0.035	17.0	109.0	0.9947	3.14	0.53
7.9	0.18	0.37	1.2	10.8	5	116.29200000000002	0.04	16.0	75.0	0.992	3.18	0.63
6.6	0.16	0.4	1.5	12.4	7	217.15519999999998	0.044000000000000004	48.0	143.0	0.9912	3.54	0.52
8.3	0.42	0.62	19.25	9.7	5	255.98019999999997	0.04	41.0	172.0	1.0002	2.98	0.67
6.6	0.17	0.38	1.5	11.4	7	164.87340000000003	0.032	28.0	112.0	0.9914	3.25	0.55
6.3	0.48	0.04	1.1	9.6	6	151.1588	0.046	30.0	99.0	0.9928	3.24	0.36
6.2	0.66	0.48	1.2	12.8	8	130.0782	0.028999999999999998	29.0	75.0	0.9892	3.33	0.39
7.4	0.34	0.42	1.1	11.3	6	213.2347	0.033	17.0	171.0	0.9917	3.12	0.53
6.5	0.31	0.14	7.5	9.5	5	195.70949999999996	0.044000000000000004	34.0	133.0	0.9955	3.22	0.5
6.2	0.66	0.48	1.2	12.8	8	130.0782	0.028999999999999998	29.0	75.0	0.9892	3.33	0.39
6.4	0.31	0.38	2.9	11.0	7	146.5392	0.038	19.0	102.0	0.9912	3.17	0.35
6.8	0.26	0.42	1.7	10.5	8	187.672	0.049	41.0	122.0	0.993	3.47	0.48
7.6	0.67	0.14	1.5	9.3	5	216.8377	0.07400000000000001	25.0	168.0	0.9937	3.05	0.51
6.6	0.27	0.41	1.3	10.0	6	181.51709999999997	0.052000000000000005	16.0	142.0	0.9951	3.42	0.47
7.0	0.25	0.32	9.0	10.4	6	332.76149999999996	0.046	56.0	245.0	0.9955	3.25	0.5
6.9	0.24	0.35	1.0	10.0	6	204.42499999999998	0.052000000000000005	35.0	146.0	0.993	3.45	0.44
7.0	0.28	0.39	8.7	10.5	6	204.8271	0.051	32.0	141.0	0.9961	3.38	0.53
7.4	0.27	0.48	1.1	11.6	6	174.5684	0.047	17.0	132.0	0.9914	3.19	0.49
7.2	0.32	0.36	2.0	12.3	7	178.0136	0.033	37.0	114.0	0.9906	3.1	0.71
8.5	0.24	0.39	10.4	10.0	6	196.3014	0.044000000000000004	20.0	142.0	0.9974	3.2	0.53
8.3	0.14	0.34	1.1	10.2	6	78.98540000000001	0.042	7.0	47.0	0.9934	3.47	0.4
7.4	0.25	0.36	2.05	10.8	6	156.532	0.05	31.0	100.0	0.992	3.19	0.44
